HA mid,Dec,VIS band,PSF,Guide,VIS Centre,NIR Centre,VIS Min,VIS Max,VIS Throughput,NIR Min,NIR Max,NIR Throughput,Metric
4,-45,B,durham,0.63,0.42,1.04,0.6572952280818548,0.9370881958784656,0.8483977573134964,0.6935427385988621,0.9727252895519882,0.8506112778069124,
0,-40,B,durham,0.6,0.42,1.12,0.9519522323486312,0.9854111834603068,0.9776677284439153,0.9706934716149336,0.9925001615714008,0.9882011394032258,
1,-40,B,durham,0.6,0.42,1.08,0.9347092098558326,0.9838580018342052,0.971542646917893,0.9577850533999084,0.9916907431084006,0.9836500738540914,
2,-40,B,durham,0.62,0.42,1.05,0.8747339385628847,0.975782937629758,0.9484677754009276,0.9150633321273264,0.9903425692124644,0.9686711546969146,
3,-40,B,durham,0.61,0.42,1.05,0.7838788010537519,0.9642395755602632,0.9107988074758864,0.8224126059894726,0.9819126667618228,0.9252597594567212,
4,-40,B,durham,0.63,0.42,1.04,0.6568321194110753,0.93184119312186,0.8449541900785885,0.6945790217203559,0.9701773805673024,0.8476077060552323,
0,-35,B,durham,0.62,0.41,1.25,0.9672849865243868,0.9825663564911354,0.9789689028464093,0.9820805679935314,0.9936878878245,0.9917202288868882,
1,-35,B,durham,0.6,0.42,1.11,0.9459706786893656,0.984534415063845,0.9755284501680972,0.9672867181056148,0.992079362154724,0.98684950610023,
2,-35,B,durham,0.6,0.42,1.06,0.8876300067214596,0.9787966263556692,0.9543387523089596,0.9204153649384342,0.9887842564966643,0.9694955172192924,
3,-35,B,durham,0.61,0.42,1.05,0.7876426367044299,0.9632407873463862,0.9114203774980356,0.8267311029449832,0.98129123098022,0.9255512626995012,
4,-35,B,durham,0.62,0.42,1.04,0.6513993933017899,0.9286593432647932,0.8410965505984098,0.6882879257488055,0.9638718957797716,0.8382896201125852,
0,-30,B,durham,0.63,0.41,1.32,0.9700453789241824,0.9869051218896684,0.9816528616069086,0.992462674595124,0.9950215678929932,0.993756960940119,
1,-30,B,durham,0.62,0.41,1.13,0.9599622787976808,0.9801255587970432,0.973709040067594,0.974830313629898,0.9935523408469454,0.9896600083657766,
2,-30,B,durham,0.6,0.42,1.06,0.8918768364662446,0.9786393594280188,0.955602206258384,0.9255368835148468,0.9889251593791536,0.9703664443972528,
3,-30,B,durham,0.61,0.42,1.05,0.7853190106887669,0.9615327940721968,0.9096664758898148,0.8258889547270277,0.9804625490156992,0.9235979518452369,
4,-30,B,durham,0.61,0.42,1.04,0.6447984167734633,0.9244682268869004,0.8361300595097649,0.679569971860329,0.955481600390169,0.8252759135241179,
0,-25,B,durham,0.63,0.44,1.03,0.9713137905035536,0.9912178180947252,0.9829132517599196,0.9927334602152316,0.998401213609973,0.9944370363646045,
1,-25,B,durham,0.61,0.41,1.16,0.9620538669220736,0.9813648014321328,0.9755901900518262,0.9750665217548806,0.9929076805074232,0.9893572451606644,
2,-25,B,durham,0.61,0.42,1.06,0.8890870395905963,0.9769954189171512,0.9537231590319832,0.9255327407565528,0.9895215864405076,0.9710104850875104,
3,-25,B,durham,0.61,0.42,1.05,0.777767885244669,0.9593632544329906,0.9061060519906406,0.8207821534825358,0.9793303183562252,0.9191090827038074,
4,-25,B,durham,0.61,0.42,1.04,0.6342457583368523,0.9149875218932084,0.8267698571655278,0.6618575207589399,0.9493164812789268,0.812227514820446,
0,-20,B,durham,0.63,0.41,1.39,0.9699909484371962,0.9883930763085592,0.982057976024816,0.9926451254800898,0.9954809343066436,0.9939164687903445,
1,-20,B,durham,0.62,0.41,1.13,0.9587978132285676,0.9800637561133256,0.9733058131593906,0.9741741324394128,0.9935530629605076,0.989375962577125,
2,-20,B,durham,0.6,0.42,1.06,0.8835547042372609,0.97760426277099,0.9526043601261052,0.9202011935469204,0.9877756878119108,0.9675998853867688,
3,-20,B,durham,0.61,0.42,1.05,0.7646007022010247,0.9565168101416224,0.9004906169282151,0.8102704049432801,0.9776088890146748,0.911957915071798,
4,-20,B,durham,0.61,0.42,1.04,0.6162063883603508,0.9035331480147653,0.8140535164418847,0.637004263874337,0.9413330668489758,0.7955103086905995,
0,-15,B,durham,0.62,0.41,1.32,0.9673244240039846,0.9834709619161628,0.9798164860583376,0.9829285307970388,0.9935048628324644,0.9918243348156872,
1,-15,B,durham,0.6,0.42,1.11,0.943355343002309,0.9844009227108697,0.974790036125632,0.966134970756165,0.9918990347805025,0.9859154700761252,
2,-15,B,durham,0.6,0.42,1.06,0.8705462428548219,0.9764063051538072,0.9481887362419588,0.9095873442670548,0.9871948359583628,0.963742087216692,
3,-15,B,durham,0.61,0.42,1.05,0.7444037552316652,0.953054548168178,0.892379421745299,0.793835610053291,0.9753228909367228,0.901774966962126,
4,-15,B,durham,0.61,0.42,1.04,0.5902547214278699,0.8903764576618067,0.7978391586647555,0.6074249627350399,0.9318159516137156,0.7748094512712408,
0,-10,B,durham,0.63,0.41,1.12,0.959348325463976,0.9801350381360332,0.9733846510507512,0.9751997977863864,0.9945219949032944,0.9904480966838276,
1,-10,B,durham,0.59,0.42,1.09,0.9315376681432868,0.9844905447041288,0.9713217244662656,0.9539049908701432,0.9904299250559024,0.9814057793510076,
2,-10,B,durham,0.63,0.42,1.05,0.8507997825259961,0.9707663784272432,0.9381708844911248,0.8981684246271584,0.9894907693389916,0.960643920247078,
3,-10,B,durham,0.61,0.42,1.05,0.7176485589833921,0.9489862569621952,0.8814734741746652,0.7719672077170617,0.9725014748027858,0.8879789268847341,
4,-10,B,durham,0.61,0.42,1.04,0.5584148045662131,0.8803894123001325,0.7810316675740324,0.5745689981369735,0.9209552338954684,0.7510106133482535,
0,-5,B,durham,0.6,0.42,1.09,0.9338348762614452,0.9845330647581552,0.972179119096116,0.9577614031409688,0.9923949771491328,0.9848489293643842,
1,-5,B,durham,0.6,0.42,1.07,0.9105146745376336,0.982121644254594,0.9635491203213508,0.9389838623203258,0.990746578539359,0.9771975891502584,
2,-5,B,durham,0.62,0.42,1.05,0.8334783104777211,0.9701354370204918,0.9313103599373052,0.8754462241598301,0.9872424302806668,0.9501113975009648,
3,-5,B,durham,0.61,0.42,1.05,0.7008561773229276,0.9471680188623932,0.872695712515999,0.7429127536750733,0.9696714789819352,0.8753698140484087,
4,-5,B,durham,0.6,0.42,1.03,0.5224039836662576,0.8654053018710293,0.7569122194659155,0.5266884565339689,0.8967710956200632,0.7111483847816757,
0,0,B,durham,0.59,0.42,1.07,0.9125578623213056,0.9846499344042372,0.965627821848674,0.9369145067262814,0.989882740052342,0.9768115583525612,
1,0,B,durham,0.6,0.42,1.06,0.883711571311244,0.9807317130983376,0.9545698057853276,0.9170402119432376,0.9898447013978904,0.969843049467736,
2,0,B,durham,0.61,0.42,1.05,0.8081048135705553,0.9686227475823476,0.9216343059052626,0.8472707658742669,0.984233263200035,0.9358578130601044,
3,0,B,durham,0.62,0.42,1.05,0.6820155758237759,0.938119450537886,0.857981341915105,0.7100424662124593,0.968367576249354,0.8611241033081596,
4,0,B,durham,0.6,0.42,1.03,0.4844362310150379,0.8293535831826814,0.7168290056037536,0.4873302445292145,0.8685588089474036,0.6743580450932689,
0,5,B,durham,0.59,0.42,1.06,0.8794062994346316,0.982985165806,0.9544839760462334,0.9098090308252952,0.9891217566559328,0.9685469962931084,
1,5,B,durham,0.62,0.42,1.05,0.8446058469109264,0.9760221604319164,0.9395706426717,0.8898608912119356,0.9904915749445108,0.9619006063772452,
2,5,B,durham,0.6,0.42,1.05,0.7723102769016779,0.9673675339628242,0.9098814157180858,0.8140343908123797,0.98001649676143,0.9173940775321224,
3,5,B,durham,0.61,0.42,1.05,0.6552869864522198,0.930063207470816,0.8423593153399331,0.6722602763795048,0.9578494103437852,0.8329910119698822,
4,5,B,durham,0.59,0.42,1.02,0.4444244936996962,0.7885250300556704,0.6733868225116713,0.4378589437971099,0.815689373768809,0.6211351971897433,
0,10,B,durham,0.61,0.42,1.05,0.8333242895927581,0.9783288227669156,0.937137859591204,0.875655607442478,0.9896897696811932,0.9586756412776032,
1,10,B,durham,0.61,0.42,1.05,0.8148647441772381,0.9754918351065766,0.9282709818199752,0.8522460297663101,0.9878269906166258,0.9449162471238116,
2,10,B,durham,0.6,0.42,1.05,0.7235491159291195,0.9627503825806824,0.890830985198763,0.768213349464307,0.9765575322117396,0.8955330695727035,
3,10,B,durham,0.62,0.42,1.04,0.6165464983600217,0.9139869159172224,0.8215121952386786,0.6296026141786099,0.9544357598329216,0.8005190897275631,
4,10,B,durham,0.65,0.43,1.02,0.3075337093246758,0.6824983134394866,0.5810225658963016,0.3706787187506744,0.8503583897881706,0.5958119995928457,
0,15,B,durham,0.6,0.42,1.05,0.8033119239804708,0.9789143076497157,0.9268936420774232,0.8368954791643526,0.9869018945419248,0.9370482781188596,
1,15,B,durham,0.6,0.42,1.05,0.7706161894831919,0.9746747843833315,0.9134969549869484,0.8078450679639582,0.9841862574527094,0.9229677089773868,
2,15,B,durham,0.6,0.42,1.05,0.6820845558691696,0.9593863477097432,0.8719867339834774,0.7122641748983383,0.9731404532367433,0.8711544864608262,
3,15,B,durham,0.62,0.42,1.04,0.5590483293443775,0.9041513654372564,0.7972258970237301,0.5644623468455366,0.944844559042292,0.7614397927986872,
4,15,B,durham,0.63,0.43,1.01,0.2673259522060594,0.605314533968023,0.5206187668062155,0.3230720722595053,0.753107115291232,0.5275933362702777,
0,20,B,durham,0.6,0.42,1.05,0.7404300936617295,0.9752974193074168,0.9033812584563272,0.7759229198429607,0.9844912916306624,0.9137955165999824,
1,20,B,durham,0.6,0.42,1.05,0.7042544349377201,0.9698423534904748,0.887512024106357,0.7425387818279787,0.9811488355936324,0.8960851169089857,
2,20,B,durham,0.61,0.42,1.05,0.6615388091524279,0.950126010422891,0.8567225380798861,0.6704844378223677,0.970244575774087,0.8433273888138975,
3,20,B,durham,0.61,0.42,1.04,0.4878733396401881,0.8782179467182909,0.7519024615716027,0.4924601125775976,0.9179808824394065,0.7065343113760287,
4,20,B,durham,0.63,0.43,1.0,0.2386842120717827,0.4963630622843277,0.4345324752532,0.2705081947086153,0.6539775609073187,0.4593606060512178,
0,-80,G,durham,0.68,0.51,1.05,0.5669258585388081,0.988699777114004,0.8430030313840557,0.665376420380821,0.9906887923126626,0.853635615037049,
1,-80,G,durham,0.68,0.51,1.05,0.5636215382219808,0.988322236775104,0.8394617149196701,0.6572447032495775,0.9904410263369786,0.8497956113821699,
2,-80,G,durham,0.69,0.51,1.05,0.5488481323438966,0.986525631909518,0.8276329937996659,0.6344653638942179,0.9906771802762072,0.8385646644643999,
3,-80,G,durham,0.69,0.51,1.05,0.5055866779454782,0.9847782874304172,0.8072699592180146,0.5950501576897408,0.9895377678065992,0.8174386474357191,
4,-80,G,durham,0.69,0.51,1.05,0.4258517442743679,0.9821961014731938,0.776715510831956,0.5398013171670725,0.9877907305916974,0.7866977829821441,
0,-75,G,durham,0.71,0.51,1.04,0.5757853147194398,0.9865077373327836,0.8488239827547166,0.6980350597727559,0.9942232992199422,0.8867554238539973,
1,-75,G,durham,0.71,0.51,1.04,0.5646471807426248,0.9860058974501216,0.8431882804813088,0.6860521058367077,0.9940472267073444,0.8820004592825652,
2,-75,G,durham,0.73,0.51,1.04,0.60179162570919,0.9842696759415888,0.8476399018915751,0.6938508144275155,0.9946741154228964,0.8725680160001359,
3,-75,G,durham,0.69,0.51,1.05,0.5902689738195268,0.9865615501456788,0.8419645411159777,0.6645317007767322,0.9908420992215722,0.8520961682687802,
4,-75,G,durham,0.7,0.51,1.05,0.4844020296779787,0.9816082030741948,0.8021934265908737,0.591538823659739,0.9894121227470912,0.8145193834012163,
0,-70,G,durham,0.68,0.51,1.04,0.6844485712616919,0.9908327733407576,0.8901295890508284,0.7770043117663069,0.9931666776753092,0.9181942328707547,
1,-70,G,durham,0.68,0.51,1.04,0.6689658129526606,0.990374833292976,0.8840609874752919,0.7643240604305988,0.9927691918276732,0.913058159386092,
2,-70,G,durham,0.69,0.51,1.04,0.6197376216311491,0.988193654521018,0.8643149309458885,0.7260932734712453,0.9924792477048696,0.8970472718383943,
3,-70,G,durham,0.72,0.51,1.04,0.5923871039207376,0.9837883896181004,0.8467485669719176,0.6916219826000677,0.9935701773103136,0.87290675903381,
4,-70,G,durham,0.7,0.51,1.05,0.5307046406766218,0.9818137662235012,0.8225581213996724,0.6329429234858582,0.9895210664947848,0.8345414008380919,
0,-65,G,durham,0.68,0.51,1.04,0.7630925480630459,0.992258589112169,0.9193926007014652,0.8380269160644322,0.9942232992199422,0.9416153867097856,
1,-65,G,durham,0.68,0.51,1.04,0.7454289737450183,0.9917802640372212,0.9131832611948664,0.8250839769039302,0.9941032663332672,0.9366362378854683,
2,-65,G,durham,0.68,0.51,1.04,0.6920728054518062,0.9903315718411156,0.8933437720747063,0.7843896195974961,0.992635093463226,0.9199660961170094,
3,-65,G,durham,0.7,0.51,1.04,0.5958091908195339,0.9852505359362116,0.8547023163972577,0.7107098237826606,0.9921737169603412,0.8889284453558248,
4,-65,G,durham,0.74,0.51,1.04,0.5604118993855051,0.9768257966112792,0.832863515646635,0.6704740800868252,0.9933045801546636,0.8470730465682168,
0,-60,G,durham,0.68,0.51,1.04,0.8028803236364994,0.9930489207566818,0.93683024953603,0.8747035532167763,0.995004584250977,0.9618420403176504,
1,-60,G,durham,0.68,0.51,1.04,0.7920333451574608,0.9927021521298436,0.9320562732635022,0.864895373243584,0.9945592685831114,0.955661776677,
2,-60,G,durham,0.68,0.51,1.04,0.7500328450688996,0.9912805461008511,0.915110378038621,0.8306335121827941,0.9934892960454876,0.937293137723152,
3,-60,G,durham,0.69,0.51,1.04,0.6460687841971134,0.9869739031449728,0.8755115227640696,0.7526333760057958,0.9916366542295444,0.9049257279856496,
4,-60,G,durham,0.72,0.51,1.04,0.5669165520581373,0.9768977604151594,0.8362744187624276,0.6778112789326828,0.9910246962364296,0.8552213890489497,
0,-55,G,durham,0.68,0.51,1.04,0.8586718001034751,0.993830426385319,0.95504276646306,0.9133320538741254,0.995533934164402,0.9730435638425452,
1,-55,G,durham,0.68,0.51,1.04,0.8377286291346253,0.9933626219379564,0.948334436272193,0.9004976396944838,0.9952090667908366,0.9687331875295848,
2,-55,G,durham,0.68,0.51,1.04,0.7878490778344422,0.9918472979113724,0.929409005510206,0.8598415776560225,0.994013349123419,0.9511165531703072,
