HA mid,Dec,VIS band,PSF,Guide,VIS Centre,NIR Centre,VIS Min,VIS Max,VIS Throughput,NIR Min,NIR Max,NIR Throughput,Metric
0,-45,B,moffat,0.59,0.42,1.08,0.9475513991678544,0.9878306066785196,0.9773202844603264,0.9631721299563862,0.9908547965278116,0.979620304440579,
1,-45,B,moffat,0.61,0.42,1.06,0.932558949504435,0.9850772716441616,0.9709310366173374,0.9544373522847612,0.9920833303189496,0.976688391467052,
2,-45,B,moffat,0.61,0.42,1.05,0.8925213639062941,0.9813076602530062,0.9556791866461444,0.921088267193488,0.9901910701592512,0.9617937479366132,
3,-45,B,moffat,0.6,0.42,1.05,0.824317613981814,0.9742806070449735,0.928359085164878,0.8590057360009202,0.9840623630791824,0.9324645311048058,
4,-45,B,moffat,0.63,0.42,1.04,0.721515282316887,0.9479641919249416,0.8751972696279839,0.7696836257799773,0.9796928944587454,0.8880133972291723,
0,-40,B,moffat,0.6,0.42,1.12,0.9609509112575372,0.9878429920068202,0.9814943234744584,0.975723551847411,0.991776453903352,0.985353343892304,
1,-40,B,moffat,0.6,0.42,1.08,0.947347694252208,0.986587801321295,0.9765697245393846,0.964786449591398,0.991365811306522,0.9807237851806576,
2,-40,B,moffat,0.62,0.42,1.05,0.9028924258584274,0.9805750767382708,0.9587497921240964,0.9324202180046858,0.9912779516260756,0.9667689875644264,
3,-40,B,moffat,0.61,0.42,1.05,0.8298339744879403,0.972165118069244,0.9291138528090558,0.8666759833235427,0.9852655215423172,0.9362335211016612,
4,-40,B,moffat,0.63,0.42,1.04,0.7207683431140767,0.9437480752208192,0.872472244510489,0.7682051363984431,0.9780251418992468,0.8862820568968846,
0,-35,B,moffat,0.62,0.41,1.25,0.9731258951669268,0.9853159294602994,0.982338362063839,0.9847481527418274,0.9927600733585696,0.9897050437655132,
1,-35,B,moffat,0.6,0.42,1.11,0.9567960824334945,0.98713019058596,0.9798466497708144,0.972214852051568,0.991303663555825,0.9839362772138684,
2,-35,B,moffat,0.6,0.42,1.06,0.9123573174410256,0.982748924063428,0.9632380175097336,0.9361994419234096,0.9892363801834516,0.967687734397772,
3,-35,B,moffat,0.61,0.42,1.05,0.8325559216614441,0.971283764274372,0.929634486899214,0.8701218603744051,0.9848048471678512,0.936807079206289,
4,-35,B,moffat,0.62,0.42,1.04,0.7176045206758461,0.9415333257538736,0.8700485980018454,0.7613622883753044,0.9734966225967704,0.8805118958100263,
0,-30,B,moffat,0.63,0.41,1.32,0.9752682172052216,0.9887032794860182,0.9845507262954436,0.988232487274452,0.9951062721810014,0.991808025362846,
1,-30,B,moffat,0.62,0.41,1.13,0.9676233389954312,0.9834200436138836,0.97810622108814,0.9781555882696116,0.9927995596494836,0.9872408726136644,
2,-30,B,moffat,0.6,0.42,1.06,0.9155194149395324,0.9826847907966858,0.9642846701938228,0.9397591171919292,0.9891838751721812,0.9686056976430002,
3,-30,B,moffat,0.61,0.42,1.05,0.8313223621569718,0.9700571793276734,0.9285765107536263,0.8699358948549129,0.9841541967324812,0.9358080744836472,
4,-30,B,moffat,0.61,0.42,1.04,0.7110115080468307,0.9388670400441812,0.8660511059904379,0.7508194706946557,0.9677044496466548,0.872330400324446,
0,-25,B,moffat,0.63,0.44,1.03,0.9762665248140132,0.9923278301384012,0.9856439598391152,0.9885589029544088,0.9986010747943944,0.9923790055743236,
1,-25,B,moffat,0.61,0.41,1.16,0.9693949639190454,0.9844326858329684,0.9796504368547754,0.9782966188116856,0.9918601105711664,0.986882748311886,
2,-25,B,moffat,0.61,0.42,1.06,0.913509235693483,0.9813244394538968,0.9628749991266778,0.940007336653416,0.9900234852723953,0.9693640840867224,
3,-25,B,moffat,0.61,0.42,1.05,0.8261608735808699,0.9684317797226288,0.9259124177676707,0.8661234507351885,0.983283727105117,0.9332140561714676,
4,-25,B,moffat,0.61,0.42,1.04,0.6998818144492913,0.9319687772434738,0.857754859261325,0.7388501017956296,0.9639311340387876,0.8645865948766982,
0,-20,B,moffat,0.63,0.41,1.39,0.9752596414927144,0.9899089981629882,0.9849048820513951,0.988302176193798,0.9956145169783212,0.9919296902878526,
1,-20,B,moffat,0.62,0.41,1.13,0.9669494620532268,0.9833153342261538,0.977797634625268,0.9775736159619964,0.9927544828695944,0.9869316621958084,
2,-20,B,moffat,0.6,0.42,1.06,0.909805066468152,0.9818326709231426,0.9620635124172772,0.9355903761805946,0.9886455363726924,0.966355229335787,
3,-20,B,moffat,0.61,0.42,1.05,0.8170588396072379,0.9663331069740146,0.921576940511286,0.858643591991847,0.9821517374907672,0.9289597123481368,
4,-20,B,moffat,0.61,0.42,1.04,0.6854728964207081,0.9234563774050274,0.8471933342345386,0.7234902283359942,0.9592890397395124,0.8547040941856006,
0,-15,B,moffat,0.62,0.41,1.32,0.9731150371837562,0.9859687388238756,0.983050983699878,0.9854597212240817,0.9926371051002234,0.9898635692660528,
1,-15,B,moffat,0.6,0.42,1.11,0.9543874867689188,0.986935900032144,0.9791658757002696,0.9711684150389768,0.9911829538758344,0.983221824547965,
2,-15,B,moffat,0.6,0.42,1.06,0.9008504496346964,0.9809971725105664,0.958733931966488,0.9277904016713427,0.9881342665304308,0.9631114917474428,
3,-15,B,moffat,0.61,0.42,1.05,0.8039702520309453,0.9636584831760951,0.9154644892645916,0.8474042768933435,0.9807003623681658,0.9229358053846536,
